close;timestamp;token
392,5;11.08.2021;BNB
371,77;10.08.2021;BNB
354,03;09.08.2021;BNB
341,6;08.08.2021;BNB
354,78;07.08.2021;BNB
342,44;06.08.2021;BNB
337,78;05.08.2021;BNB
335,25;04.08.2021;BNB
324,41;03.08.2021;BNB
330,33;02.08.2021;BNB
333,11;01.08.2021;BNB
331,89;31.07.2021;BNB
322,24;30.07.2021;BNB
315,85;29.07.2021;BNB
313,7;28.07.2021;BNB
313,55;27.07.2021;BNB
304,05;26.07.2021;BNB
302,77;25.07.2021;BNB
301,82;24.07.2021;BNB
299,43;23.07.2021;BNB
293,92;22.07.2021;BNB
293,39;21.07.2021;BNB
265,42;20.07.2021;BNB
281,84;19.07.2021;BNB
303,3;18.07.2021;BNB
301,21;17.07.2021;BNB
303,55;16.07.2021;BNB
316,78;15.07.2021;BNB
309,28;14.07.2021;BNB
309,64;13.07.2021;BNB
316,45;12.07.2021;BNB
322,17;11.07.2021;BNB
316,68;10.07.2021;BNB
317,05;09.07.2021;BNB
310,74;08.07.2021;BNB
328,18;07.07.2021;BNB
321,14;06.07.2021;BNB
302,66;05.07.2021;BNB
307,68;04.07.2021;BNB
298,17;03.07.2021;BNB
287,34;02.07.2021;BNB
287,89;01.07.2021;BNB
303,47;30.06.2021;BNB
301,28;29.06.2021;BNB
289,89;28.06.2021;BNB
291,26;27.06.2021;BNB
280,41;26.06.2021;BNB
282,05;25.06.2021;BNB
308,98;24.06.2021;BNB
296,67;23.06.2021;BNB
262,01;22.06.2021;BNB
271,67;21.06.2021;BNB
339,99;20.06.2021;BNB
335,17;19.06.2021;BNB
338,79;18.06.2021;BNB
354,2;17.06.2021;BNB
349,11;16.06.2021;BNB
367,56;15.06.2021;BNB
370,47;14.06.2021;BNB
366,12;13.06.2021;BNB
344,79;12.06.2021;BNB
346,88;11.06.2021;BNB
351,48;10.06.2021;BNB
375,73;09.06.2021;BNB
353,49;08.06.2021;BNB
358,73;07.06.2021;BNB
394,69;06.06.2021;BNB
391,52;05.06.2021;BNB
390,89;04.06.2021;BNB
429,66;03.06.2021;BNB
401,32;02.06.2021;BNB
363;01.06.2021;BNB
352,81;31.05.2021;BNB
326,47;30.05.2021;BNB
306,01;29.05.2021;BNB
330,03;28.05.2021;BNB
370,58;27.05.2021;BNB
380,31;26.05.2021;BNB
344,14;25.05.2021;BNB
346,26;24.05.2021;BNB
261,91;23.05.2021;BNB
302,17;22.05.2021;BNB
328,21;21.05.2021;BNB
392,72;20.05.2021;BNB
339,15;19.05.2021;BNB
46771,54;14.08.2021;BTC
47757,7;13.08.2021;BTC
44459,47;12.08.2021;BTC
45600,05;11.08.2021;BTC
45599,42;10.08.2021;BTC
46274,56;09.08.2021;BTC
43817,17;08.08.2021;BTC
44550,55;07.08.2021;BTC
42866,45;06.08.2021;BTC
40882,05;05.08.2021;BTC
39768,98;04.08.2021;BTC
38248,57;03.08.2021;BTC
